,SYMBOL,18-OCT-2021,19-OCT-2021,20-OCT-2021,21-OCT-2021,22-OCT-2021,25-OCT-2021,26-OCT-2021,27-OCT-2021,28-OCT-2021,29-OCT-2021,01-NOV-2021,02-NOV-2021,V AVERAGE
3,TATAMOTORS,0.6362,0.64,0.6381,0.6381,0.6381,0.6381,0.6419,0.64,0.64,0.6381,0.6381,0.6362,0.639
39,INDUSINDBK,0.6266,0.6247,0.6247,0.6228,0.6209,0.6209,0.619,0.6171,0.6171,0.6171,0.6247,0.6228,0.622
19,HINDALCO,0.5407,0.5407,0.5407,0.5426,0.5445,0.5445,0.5426,0.5426,0.5426,0.5407,0.5426,0.5426,0.542
29,TATASTEEL,0.5177,0.5177,0.5177,0.5177,0.5158,0.5139,0.5158,0.5158,0.5139,0.5139,0.5139,0.5158,0.516
24,BAJFINANCE,0.4986,0.4967,0.4967,0.4948,0.4929,0.4929,0.4929,0.4948,0.4948,0.4929,0.4929,0.491,0.494
42,JSWSTEEL,0.4853,0.4853,0.4853,0.4834,0.4834,0.4814,0.4834,0.4814,0.4814,0.4795,0.4814,0.4814,0.483
46,BAJAJFINSV,0.4853,0.4853,0.4853,0.4834,0.4834,0.4834,0.4834,0.4814,0.4814,0.4795,0.4795,0.4776,0.482
17,ADANIPORTS,0.4814,0.4814,0.4814,0.4795,0.4795,0.4795,0.4776,0.4776,0.4872,0.4872,0.4853,0.4853,0.482
27,AXISBANK,0.4795,0.4795,0.4776,0.4757,0.4757,0.4757,0.4757,0.4834,0.4834,0.4834,0.4834,0.4814,0.48
4,ONGC,0.4776,0.4776,0.4776,0.4757,0.4757,0.4757,0.4738,0.4757,0.4795,0.4776,0.4776,0.4776,0.477
13,UPL,0.47,0.47,0.47,0.47,0.4681,0.4681,0.4681,0.47,0.47,0.4681,0.4681,0.4681,0.469
15,ICICIBANK,0.4375,0.4356,0.4356,0.4356,0.4337,0.4547,0.4528,0.4528,0.4547,0.4547,0.4528,0.4528,0.446
12,SBIN,0.4413,0.4413,0.4413,0.4394,0.4394,0.4375,0.4375,0.4356,0.4375,0.4356,0.4375,0.4356,0.438
2,M&M,0.4203,0.4184,0.4184,0.4184,0.4165,0.4165,0.4146,0.4146,0.4127,0.4127,0.4108,0.4108,0.415
10,BPCL,0.4031,0.4031,0.4031,0.4031,0.4031,0.405,0.4031,0.4031,0.4031,0.4012,0.4012,0.3993,0.403
18,COALINDIA,0.3993,0.3974,0.3974,0.3974,0.3993,0.3974,0.3974,0.3974,0.3993,0.3993,0.4012,0.4012,0.399
33,BHARTIARTL,0.3955,0.3936,0.3955,0.3955,0.3955,0.3936,0.3936,0.3917,0.3917,0.3917,0.3936,0.3936,0.394
44,EICHERMOT,0.3897,0.3936,0.3936,0.3917,0.3917,0.3917,0.3917,0.3897,0.3897,0.3897,0.3917,0.3897,0.391
26,TITAN,0.3859,0.3897,0.3897,0.3897,0.3897,0.3878,0.3897,0.3878,0.3897,0.3897,0.3897,0.3897,0.389
20,KOTAKBANK,0.3821,0.3821,0.3802,0.3878,0.3878,0.3878,0.3878,0.3878,0.3897,0.3917,0.3917,0.3917,0.387
49,TECHM,0.384,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3821,0.3821,0.384,0.3859,0.384,0.384
14,GRASIM,0.3821,0.3821,0.3821,0.384,0.3821,0.3821,0.3821,0.3802,0.3802,0.3802,0.3821,0.3821,0.382
28,HDFC,0.3859,0.384,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3802,0.3783,0.3783,0.382
31,TATACONSUM,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3764,0.3764,0.3764,0.3745,0.378
48,WIPRO,0.3764,0.3745,0.3745,0.3745,0.3745,0.3745,0.3725,0.3725,0.3725,0.3725,0.3706,0.3706,0.373
1,MARUTI,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649,0.3668,0.368
22,SHREECEM,0.3706,0.3687,0.3687,0.3687,0.3668,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.3649,0.367
8,RELIANCE,0.3668,0.3649,0.3649,0.3668,0.3649,0.3649,0.3649,0.3649,0.3649,0.3649,0.363,0.363,0.365
32,HDFCLIFE,0.3668,0.3649,0.3649,0.3649,0.363,0.363,0.363,0.3611,0.3611,0.3611,0.3592,0.3592,0.363
25,SBILIFE,0.3573,0.3554,0.3554,0.3554,0.3534,0.3554,0.3592,0.3592,0.3573,0.3573,0.3573,0.3573,0.357
38,SUNPHARMA,0.3611,0.3592,0.3592,0.3592,0.3573,0.3573,0.3554,0.3554,0.3554,0.3554,0.3554,0.3554,0.357
50,HCLTECH,0.3592,0.3592,0.3573,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3554,0.3573,0.3573,0.357
6,NTPC,0.3554,0.3534,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3534,0.3554,0.3554,0.3554,0.354
5,HEROMOTOCO,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3496,0.3496,0.3477,0.352
30,POWERGRID,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3496,0.3496,0.3496,0.3496,0.3496,0.351
16,IOC,0.3496,0.3496,0.3496,0.3496,0.3496,0.3477,0.3477,0.3458,0.3458,0.3458,0.3477,0.3458,0.348
11,ULTRACEMCO,0.3477,0.3496,0.3477,0.3477,0.3477,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.347
35,ASIANPAINT,0.342,0.342,0.342,0.3477,0.3477,0.3477,0.3477,0.3515,0.3515,0.3496,0.3496,0.3477,0.347
47,DIVISLAB,0.3439,0.3458,0.3439,0.3439,0.3458,0.3439,0.3439,0.3458,0.3439,0.3439,0.3439,0.342,0.344
43,LT,0.342,0.3439,0.3458,0.3439,0.3439,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.343
34,CIPLA,0.3382,0.3382,0.3382,0.3362,0.3362,0.3362,0.3343,0.3343,0.3382,0.3362,0.3362,0.3362,0.337
23,ITC,0.321,0.3324,0.3305,0.3305,0.3324,0.3324,0.3324,0.3305,0.3401,0.3382,0.3382,0.3382,0.333
21,DRREDDY,0.3324,0.3324,0.3305,0.3324,0.3305,0.3305,0.3286,0.3286,0.3286,0.3286,0.3305,0.3305,0.33
7,BAJAJ-AUTO,0.3267,0.3267,0.3267,0.3267,0.3248,0.3267,0.3267,0.3248,0.3267,0.3248,0.3248,0.3229,0.326
9,HDFCBANK,0.3286,0.3267,0.3267,0.3267,0.3248,0.3248,0.3248,0.3229,0.3248,0.3248,0.3248,0.3229,0.325
45,INFY,0.3229,0.3229,0.3229,0.3248,0.3248,0.3229,0.3229,0.3229,0.3229,0.3229,0.3229,0.3229,0.323
36,BRITANNIA,0.3038,0.3019,0.3019,0.3019,0.3019,0.3019,0.3019,0.2999,0.2999,0.2999,0.298,0.298,0.301
37,TCS,0.2999,0.298,0.298,0.298,0.298,0.298,0.2961,0.2961,0.2961,0.2961,0.2961,0.2961,0.297
40,HINDUNILVR,0.2828,0.2885,0.2904,0.2904,0.2885,0.2885,0.2866,0.2885,0.2866,0.2866,0.2866,0.2847,0.287
41,NESTLEIND,0.2885,0.2866,0.2866,0.2847,0.2847,0.2847,0.2885,0.2885,0.2866,0.2866,0.2866,0.2847,0.286
