,SYMBOL,04-APR-2022,05-APR-2022,06-APR-2022,07-APR-2022,08-APR-2022,11-APR-2022,12-APR-2022,13-APR-2022,18-APR-2022,19-APR-2022,20-APR-2022,21-APR-2022,22-APR-2022,V AVERAGE
3,ADANITRANS,0.6629,0.6629,0.6629,0.5961,0.5961,0.6056,0.6037,0.6037,0.6018,0.6037,0.6037,0.6018,0.6018,0.616
94,SAIL,0.6037,0.6018,0.6037,0.5884,0.5865,0.5865,0.5846,0.5846,0.5827,0.5808,0.5808,0.5789,0.5789,0.588
6,TATAMOTORS,0.5999,0.6018,0.5999,0.5846,0.5827,0.5808,0.5808,0.5808,0.5789,0.5789,0.5789,0.5789,0.577,0.585
55,INDUSINDBK,0.6018,0.6018,0.5999,0.5731,0.5731,0.5712,0.5693,0.5674,0.5674,0.5655,0.5636,0.5636,0.5636,0.575
96,ADANIGREEN,0.5388,0.5292,0.5273,0.5521,0.5598,0.5884,0.5903,0.5903,0.5903,0.5884,0.5903,0.5884,0.5884,0.571
76,BANDHANBNK,0.5846,0.5846,0.5846,0.5693,0.5693,0.5674,0.5674,0.5674,0.5655,0.5655,0.5636,0.5655,0.5636,0.571
99,CHOLAFIN,0.5827,0.5827,0.5827,0.5617,0.5693,0.5674,0.5674,0.5655,0.5636,0.5636,0.5636,0.5636,0.5617,0.569
88,VEDL,0.5865,0.5827,0.5846,0.5636,0.5617,0.5598,0.5636,0.5617,0.5617,0.5598,0.5579,0.5579,0.556,0.566
35,INDUSTOWER,0.5502,0.5502,0.5521,0.5731,0.5712,0.5693,0.5693,0.5674,0.5655,0.5636,0.5636,0.5617,0.5617,0.563
70,DLF,0.5445,0.5445,0.5445,0.556,0.554,0.554,0.5521,0.5521,0.5502,0.5502,0.5483,0.5483,0.5483,0.55
41,ADANIENT,0.5617,0.5636,0.5617,0.5502,0.5502,0.5483,0.5483,0.5464,0.5445,0.5445,0.5445,0.5464,0.5445,0.55
77,BANKBARODA,0.533,0.533,0.5349,0.5445,0.5445,0.5426,0.5407,0.5407,0.5426,0.5407,0.5407,0.5388,0.5388,0.54
75,PEL,0.533,0.533,0.533,0.5388,0.5368,0.5349,0.5349,0.533,0.533,0.5311,0.5311,0.5292,0.5292,0.533
72,ZOMATO,0.4184,0.4184,0.4165,0.5674,0.5655,0.5655,0.5655,0.5655,0.5655,0.5655,0.5636,0.5617,0.5598,0.531
56,HINDALCO,0.5216,0.5197,0.5197,0.5158,0.5139,0.512,0.5177,0.5177,0.5158,0.5139,0.5139,0.512,0.5158,0.516
66,PNB,0.4986,0.4986,0.4986,0.5158,0.5139,0.5139,0.512,0.512,0.5101,0.5101,0.5082,0.5063,0.5063,0.508
32,INDIGO,0.4681,0.4681,0.4681,0.5139,0.512,0.512,0.512,0.512,0.5101,0.5082,0.5082,0.5082,0.5063,0.501
86,TATASTEEL,0.491,0.491,0.491,0.5006,0.5006,0.4986,0.4986,0.4986,0.4967,0.4967,0.4948,0.4929,0.4929,0.496
95,PAYTM,0.3554,0.3439,0.3496,0.5273,0.5254,0.5445,0.5445,0.5426,0.5445,0.5445,0.5426,0.5426,0.5426,0.496
40,MINDTREE,0.4776,0.4776,0.4776,0.4948,0.4929,0.4929,0.4948,0.4929,0.4948,0.5063,0.5063,0.5044,0.5063,0.494
63,NAUKRI,0.4757,0.4757,0.4757,0.4948,0.4929,0.4929,0.491,0.491,0.491,0.4891,0.4872,0.4872,0.4853,0.487
57,NMDC,0.4929,0.4929,0.4929,0.4853,0.4853,0.4834,0.4834,0.4834,0.4814,0.4795,0.4795,0.4776,0.4776,0.484
83,APOLLOHOSP,0.4891,0.4891,0.4891,0.4757,0.4757,0.4738,0.4738,0.4738,0.4757,0.4795,0.4795,0.4795,0.4776,0.479
89,JSWSTEEL,0.4623,0.4623,0.4623,0.4757,0.4776,0.4776,0.4757,0.4757,0.4738,0.4738,0.4738,0.4719,0.4719,0.472
84,ONGC,0.4547,0.4566,0.4547,0.4738,0.4719,0.4719,0.47,0.4719,0.47,0.47,0.4681,0.4681,0.4662,0.467
98,BAJFINANCE,0.4757,0.4757,0.4757,0.4662,0.4643,0.4623,0.4623,0.4604,0.4604,0.4585,0.4604,0.4585,0.4585,0.465
43,JUBLFOOD,0.4299,0.4299,0.4299,0.4776,0.4757,0.4757,0.4738,0.4719,0.4719,0.4738,0.4738,0.4834,0.4834,0.465
100,LTI,0.4566,0.4566,0.4566,0.4585,0.4566,0.4566,0.4566,0.4566,0.4566,0.4662,0.4719,0.47,0.47,0.461
39,ADANIPORTS,0.47,0.47,0.4662,0.4585,0.4585,0.4566,0.4566,0.4547,0.4547,0.4547,0.4547,0.4547,0.4547,0.459
91,BAJAJFINSV,0.4604,0.4604,0.4604,0.4547,0.4547,0.4528,0.4528,0.4528,0.4509,0.4509,0.449,0.449,0.449,0.454
4,BIOCON,0.4451,0.4451,0.4451,0.4528,0.4528,0.4509,0.4509,0.449,0.449,0.449,0.4509,0.4566,0.4566,0.45
59,SRF,0.4318,0.4337,0.4318,0.4528,0.4528,0.4509,0.4509,0.4509,0.449,0.4509,0.449,0.449,0.449,0.446
78,AXISBANK,0.449,0.449,0.449,0.4413,0.4413,0.4394,0.4394,0.4375,0.4375,0.4356,0.4356,0.4337,0.4337,0.44
15,UPL,0.4394,0.4413,0.4413,0.4318,0.4299,0.4299,0.4299,0.4299,0.428,0.428,0.428,0.426,0.426,0.431
85,PIIND,0.4375,0.4394,0.4375,0.426,0.426,0.4241,0.4241,0.4241,0.4241,0.4222,0.4222,0.4203,0.4203,0.427
22,ICICIPRULI,0.428,0.428,0.4299,0.4241,0.426,0.4241,0.4222,0.4222,0.4203,0.426,0.426,0.4241,0.4241,0.425
60,COALINDIA,0.3917,0.3917,0.3936,0.428,0.428,0.428,0.4318,0.4318,0.4318,0.4337,0.4318,0.4356,0.4356,0.423
37,ZYDUSLIFE,0.3592,0.3573,0.3573,1.1635,0.3611,0.3611,0.3611,0.3611,0.3592,0.3592,0.3592,0.3592,0.3592,0.421
54,MUTHOOTFIN,0.4394,0.4394,0.4394,0.4146,0.4146,0.4127,0.4127,0.4108,0.4108,0.4108,0.4088,0.4088,0.4088,0.418
97,GAIL,0.4088,0.4088,0.4088,0.4241,0.4241,0.4222,0.4222,0.4203,0.4203,0.4203,0.4203,0.4184,0.4184,0.418
79,SBIN,0.4184,0.4184,0.4184,0.4088,0.4088,0.4069,0.4069,0.405,0.405,0.4031,0.4031,0.4031,0.4031,0.408
93,NYKAA,0.277,0.2675,0.2675,0.4432,0.4451,0.4451,0.449,0.449,0.4471,0.4451,0.4451,0.4451,0.4432,0.405
90,ICICIBANK,0.4222,0.4203,0.4203,0.4031,0.4012,0.4012,0.3993,0.3993,0.3974,0.3974,0.3974,0.3955,0.3955,0.404
68,SBICARD,0.3917,0.3955,0.3917,0.4031,0.4031,0.4012,0.4012,0.4012,0.4012,0.4012,0.4012,0.3993,0.3993,0.399
2,AMBUJACEM,0.3687,0.3687,0.3687,0.3974,0.3993,0.4069,0.4069,0.4069,0.4069,0.4069,0.4108,0.4108,0.4108,0.398
58,HAVELLS,0.3936,0.4031,0.3936,0.4012,0.4012,0.3993,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.398
53,BAJAJHLDNG,0.3955,0.3897,0.3821,0.3897,0.3878,0.3878,0.4012,0.4012,0.4088,0.4069,0.4069,0.4069,0.405,0.398
14,GLAND,0.405,0.4031,0.405,0.3955,0.3955,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3955,0.3974,0.396
11,GODREJCP,0.3764,0.3745,0.3764,0.4012,0.4031,0.4031,0.4012,0.4012,0.4012,0.4012,0.4031,0.4031,0.4012,0.396
51,M&M,0.3936,0.3936,0.3936,0.3955,0.3955,0.3955,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3917,0.393
26,BOSCHLTD,0.4031,0.4031,0.4031,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3878,0.3878,0.3878,0.3878,0.391
5,BPCL,0.3917,0.3917,0.3917,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.3878,0.3897,0.3897,0.3897,0.39
44,GRASIM,0.3725,0.3745,0.3725,0.3897,0.3955,0.3955,0.3974,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.39
21,HDFC,0.3802,0.363,0.3649,0.3936,0.3917,0.3917,0.3897,0.3897,0.3955,0.4012,0.4012,0.4012,0.4012,0.39
48,LUPIN,0.3859,0.384,0.3821,0.3936,0.3936,0.3917,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3897,0.389
38,DMART,0.3859,0.3859,0.3859,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.3859,0.3859,0.3859,0.384,0.387
64,MCDOWELL-N,0.3725,0.3725,0.3706,0.3936,0.3936,0.3917,0.3917,0.3917,0.3897,0.3917,0.3897,0.3897,0.3878,0.387
62,TECHM,0.3783,0.3783,0.3783,0.3859,0.3859,0.3859,0.3859,0.384,0.3897,0.3897,0.3897,0.3878,0.3878,0.385
9,MARUTI,0.3668,0.3668,0.3668,0.3936,0.3917,0.3917,0.3897,0.3897,0.3897,0.3897,0.3917,0.3917,0.3917,0.385
49,KOTAKBANK,0.384,0.3821,0.3821,0.3821,0.3802,0.3802,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.38
42,TITAN,0.3764,0.3764,0.3764,0.3783,0.3783,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3725,0.3725,0.376
8,EICHERMOT,0.384,0.384,0.384,0.3745,0.3745,0.3725,0.3725,0.3706,0.3706,0.3706,0.3725,0.3764,0.3764,0.376
67,TORNTPHARM,0.3477,0.3477,0.3477,0.3859,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3821,0.375
19,TATACONSUM,0.3592,0.3611,0.3592,0.3764,0.3745,0.3745,0.3745,0.3725,0.3725,0.3745,0.3745,0.3745,0.3745,0.371
25,BHARTIARTL,0.3745,0.3745,0.3745,0.363,0.363,0.3611,0.3611,0.3611,0.3611,0.3592,0.3611,0.3592,0.3592,0.364
17,HDFCLIFE,0.3401,0.3362,0.3382,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3725,0.3725,0.3725,0.3745,0.363
7,SHREECEM,0.3458,0.3458,0.3458,0.3687,0.3687,0.3668,0.3668,0.3649,0.3649,0.3649,0.3668,0.3668,0.3668,0.362
80,HDFCAMC,0.3458,0.3439,0.3439,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649,0.3668,0.3668,0.3649,0.3649,0.361
34,WIPRO,0.3515,0.3515,0.3515,0.3592,0.3592,0.3592,0.3592,0.3592,0.3611,0.3611,0.3611,0.3592,0.3592,0.358
13,RELIANCE,0.3611,0.3611,0.3611,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3573,0.3573,0.3592,0.3573,0.358
61,HEROMOTOCO,0.3305,0.3286,0.3286,0.3668,0.3668,0.3668,0.3668,0.3649,0.3649,0.363,0.363,0.363,0.363,0.357
31,ICICIGI,0.3611,0.3611,0.3611,0.3515,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3496,0.3573,0.353
74,SIEMENS,0.3534,0.3515,0.3515,0.3554,0.3554,0.3534,0.3534,0.3534,0.3515,0.3534,0.3515,0.3515,0.3515,0.353
20,IOC,0.3401,0.3401,0.342,0.3515,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3515,0.3515,0.35
73,NTPC,0.3534,0.3554,0.3534,0.3458,0.3458,0.3458,0.3439,0.3439,0.3515,0.3515,0.3496,0.3496,0.3496,0.349
50,DIVISLAB,0.342,0.3401,0.3401,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3496,0.3477,0.3477,0.3477,0.347
10,ULTRACEMCO,0.3305,0.3305,0.3305,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3534,0.3515,0.3515,0.347
81,POWERGRID,0.3439,0.3458,0.3458,0.3477,0.3477,0.3458,0.3458,0.3458,0.3439,0.3439,0.3439,0.342,0.342,0.345
1,ACC,0.3248,0.3248,0.3229,0.3458,0.3439,0.3458,0.3458,0.3458,0.3477,0.3515,0.363,0.3649,0.363,0.345
65,SBILIFE,0.3382,0.3382,0.3382,0.342,0.3458,0.3458,0.3458,0.3439,0.3458,0.3496,0.3477,0.3477,0.3477,0.344
28,HCLTECH,0.342,0.3401,0.342,0.342,0.342,0.3439,0.342,0.342,0.342,0.3439,0.3439,0.342,0.342,0.342
12,ASIANPAINT,0.3305,0.3305,0.3305,0.3439,0.3439,0.3439,0.3439,0.3439,0.3439,0.342,0.3439,0.3458,0.3439,0.341
46,HDFCBANK,0.3324,0.3095,0.3114,0.3477,0.3458,0.3458,0.3439,0.3439,0.3496,0.3534,0.3515,0.3515,0.3515,0.341
71,SUNPHARMA,0.3439,0.342,0.342,0.3343,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.3286,0.3305,0.3305,0.334
87,LT,0.3286,0.3286,0.3286,0.3324,0.3305,0.3324,0.3324,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.331
52,CIPLA,0.3362,0.3362,0.3362,0.3267,0.3267,0.3267,0.3248,0.3248,0.3248,0.3267,0.3248,0.3248,0.3267,0.328
23,PIDILITIND,0.3095,0.3095,0.3095,0.3267,0.3267,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3267,0.3267,0.324
82,ITC,0.3305,0.3305,0.3305,0.3171,0.321,0.321,0.321,0.321,0.3191,0.3229,0.321,0.321,0.3191,0.323
24,DRREDDY,0.3114,0.3114,0.3114,0.321,0.321,0.321,0.321,0.321,0.3191,0.3191,0.321,0.3191,0.321,0.318
36,BERGEPAINT,0.3095,0.3076,0.3076,0.3229,0.321,0.321,0.321,0.3191,0.3191,0.321,0.3191,0.3191,0.3191,0.317
27,INFY,0.3076,0.3076,0.3095,0.3114,0.3095,0.3114,0.3114,0.3095,0.3267,0.3286,0.3286,0.3286,0.3286,0.317
30,BAJAJ-AUTO,0.3114,0.3114,0.3114,0.3152,0.3133,0.3133,0.3133,0.3133,0.3133,0.3133,0.3133,0.3114,0.3114,0.313
92,PGHH,0.2675,0.2675,0.2675,0.3019,0.3019,0.2999,0.2999,0.2999,0.298,0.298,0.298,0.298,0.2961,0.292
47,BRITANNIA,0.2866,0.2847,0.2847,0.2961,0.2961,0.2942,0.2942,0.2923,0.2923,0.2942,0.2923,0.2923,0.2923,0.292
45,MARICO,0.2732,0.2732,0.277,0.298,0.298,0.2961,0.2961,0.2961,0.2942,0.2961,0.2961,0.2961,0.2961,0.291
18,HINDUNILVR,0.2694,0.2675,0.2675,0.2866,0.2866,0.2847,0.2847,0.2847,0.2847,0.2866,0.2885,0.2885,0.2904,0.282
16,TCS,0.277,0.2789,0.2789,0.2808,0.2808,0.2808,0.2789,0.2789,0.2828,0.2828,0.2847,0.2847,0.2847,0.281
69,DABUR,0.2407,0.2407,0.2407,0.2713,0.2713,0.2713,0.2713,0.2694,0.2694,0.2713,0.2713,0.2713,0.2713,0.264
29,NESTLEIND,0.2675,0.2675,0.2675,0.2617,0.2617,0.2617,0.2617,0.2598,0.2598,0.2636,0.2636,0.2636,0.2636,0.263
33,COLPAL,0.2617,0.2617,0.2617,0.256,0.256,0.2541,0.2541,0.2541,0.2541,0.256,0.256,0.2579,0.2598,0.257
