SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Volume,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,3 day price
SAIL,2022-05-30,EQ,74.2,75.0,75.55,73.8,74.7,29257589,6243065,21.34,"Vol Down, Delivery Up",1,0
SAIL,2022-05-31,EQ,74.75,74.4,76.7,74.1,76.0,33084493,5728301,17.31,"Vol Down, Delivery Up",1,0
SAIL,2022-06-01,EQ,75.95,75.95,77.0,74.95,76.6,32105532,5886711,18.34,"Vol Down, Delivery Up",1,0
PGHH,2022-05-30,EQ,13428.15,13400.0,13526.4,13236.5,13390.0,3611,1675,46.39,"Vol Up, Delivery Down",1,0
PGHH,2022-05-31,EQ,13373.95,13449.9,13991.0,13356.5,13856.05,3717,1738,46.760000000000005,"Vol Up, Delivery Down",1,0
PGHH,2022-06-01,EQ,13818.95,13712.1,14229.0,13670.55,14020.0,4566,1691,37.03,"Vol Up, Delivery Down",1,0
NMDC,2022-05-30,EQ,124.95,126.0,126.35,123.05,123.75,8776448,4109983,46.83,"Vol Down, Delivery Up",1,0
NMDC,2022-05-31,EQ,123.9,123.9,127.65,123.1,126.3,7115522,2336072,32.83,"Vol Down, Delivery Up",1,0
NMDC,2022-06-01,EQ,126.1,127.4,127.6,125.1,126.55,7019912,2874100,40.94,"Vol Down, Delivery Up",1,0
ZYDUSLIFE,2022-05-30,EQ,373.9,376.0,378.5,373.6,377.55,2704348,1793829,66.33,-,0,0
ZYDUSLIFE,2022-05-31,EQ,377.6,379.45,381.8,376.2,377.0,3035994,2079556,68.5,-,0,0
ZYDUSLIFE,2022-06-01,EQ,378.35,371.0,378.95,370.5,373.45,1602867,775546,48.38000000000001,-,0,0
ZOMATO,2022-05-30,EQ,62.05,63.25,72.1,62.6,71.25,124103679,25420124,20.48,-,0,0
ZOMATO,2022-05-31,EQ,71.05,68.5,77.7,67.4,76.05,184333915,34694517,18.82,-,0,0
ZOMATO,2022-06-01,EQ,74.65,75.4,79.8,73.1,73.9,127949782,16369321,12.79,-,0,0
WIPRO,2022-05-30,EQ,466.95,473.15,481.5,473.15,476.2,6145574,1852549,30.14,-,0,0
WIPRO,2022-05-31,EQ,476.25,475.9,480.75,470.4,479.5,15793502,11686902,74.0,-,0,0
WIPRO,2022-06-01,EQ,478.05,478.95,478.95,468.5,471.7,5257283,2292910,43.61,-,0,0
VEDL,2022-05-30,EQ,307.85,309.25,314.75,307.2,312.85,7700826,1963192,25.490000000000002,-,0,0
VEDL,2022-05-31,EQ,313.2,310.0,327.4,309.2,323.05,52366423,32089535,61.28,-,0,0
VEDL,2022-06-01,EQ,320.9,320.5,325.0,313.25,316.05,9150761,2829392,30.92,-,0,0
UPL,2022-05-30,EQ,756.6,760.35,787.8,760.35,781.0,1735999,476471,27.450000000000003,-,0,0
UPL,2022-05-31,EQ,782.55,782.5,791.2,775.0,781.95,1981316,1003564,50.64999999999999,-,0,0
UPL,2022-06-01,EQ,779.6,772.6,784.4,772.6,780.85,1136166,417173,36.72,-,0,0
ULTRACEMCO,2022-05-30,EQ,5948.0,6000.0,6156.75,5965.55,6110.0,330562,169551,51.29,-,0,0
ULTRACEMCO,2022-05-31,EQ,6102.65,6110.0,6140.0,6045.05,6085.0,431470,258558,59.92000000000001,-,0,0
ULTRACEMCO,2022-06-01,EQ,6082.6,6080.0,6099.7,5950.0,5982.0,268629,131740,49.04,-,0,0
TORNTPHARM,2022-05-30,EQ,2936.95,2935.0,2954.9,2877.55,2889.0,239519,125952,52.59,-,0,0
TORNTPHARM,2022-05-31,EQ,2885.25,2887.5,2919.7,2810.55,2835.0,849588,576457,67.85,-,0,0
TORNTPHARM,2022-06-01,EQ,2832.6,2860.0,2861.95,2806.1,2824.75,95422,24255,25.420000000000005,-,0,0
TITAN,2022-05-30,EQ,2149.2,2164.0,2260.0,2164.0,2254.95,1691435,697768,41.25,-,0,0
TITAN,2022-05-31,EQ,2255.9,2254.9,2300.0,2176.6,2295.0,7005071,5206805,74.33,-,0,0
TITAN,2022-06-01,EQ,2216.0,2255.0,2304.9,2180.0,2195.0,2126105,615724,28.96,-,0,0
TECHM,2022-05-30,EQ,1123.25,1142.9,1170.5,1135.45,1164.4,2469771,1097863,44.45,-,0,0
TECHM,2022-05-31,EQ,1164.0,1152.0,1192.0,1148.65,1186.55,9674664,5732059,59.25,-,0,0
TECHM,2022-06-01,EQ,1180.25,1186.15,1197.0,1143.1,1147.65,2419021,1055797,43.65,-,0,0
TCS,2022-05-30,EQ,3261.3,3297.0,3386.6,3286.35,3380.4,2094624,1253589,59.85,-,0,0
TCS,2022-05-31,EQ,3375.25,3354.15,3383.4,3325.0,3365.0,4840965,3642745,75.25,-,0,0
TCS,2022-06-01,EQ,3364.35,3388.0,3388.0,3340.05,3359.15,1493835,989283,66.22,-,0,0
TATASTEEL,2022-05-30,EQ,1043.5,1059.0,1063.8,1043.5,1047.0,7270159,2152267,29.600000000000005,-,0,0
TATASTEEL,2022-05-31,EQ,1047.45,1045.0,1071.9,1037.0,1055.75,12124885,4978154,41.06,-,0,0
TATASTEEL,2022-06-01,EQ,1055.65,1065.5,1079.0,1053.3,1061.0,9405529,3619999,38.49,-,0,0
TATAMOTORS,2022-05-30,EQ,429.6,437.0,445.2,436.0,442.4,18500266,5933353,32.07,-,0,0
TATAMOTORS,2022-05-31,EQ,442.4,443.95,449.5,440.4,442.7,22308219,8034708,36.02,-,0,0
TATAMOTORS,2022-06-01,EQ,443.55,445.1,446.0,439.6,445.0,11930669,2264584,18.98,-,0,0
TATACONSUM,2022-05-30,EQ,725.45,731.0,753.0,729.1,750.0,1145649,430740,37.6,-,0,0
TATACONSUM,2022-05-31,EQ,750.15,753.0,779.95,743.0,774.0,6125585,4596764,75.04,-,0,0
TATACONSUM,2022-06-01,EQ,759.75,760.0,780.5,757.75,762.0,1641729,621600,37.86,-,0,0
SUNPHARMA,2022-05-30,EQ,903.9,905.0,915.5,886.5,889.0,3541617,1830446,51.68000000000001,-,0,0
SUNPHARMA,2022-05-31,EQ,888.3,867.25,882.8,851.2,865.15,24360628,14074554,57.78,-,0,0
SUNPHARMA,2022-06-01,EQ,860.6,875.0,875.0,832.6,842.9,5999099,2912266,48.55,-,0,0
SRF,2022-05-30,EQ,2362.0,2385.65,2475.0,2380.05,2455.05,679917,245711,36.14,-,0,0
SRF,2022-05-31,EQ,2450.05,2455.0,2495.95,2437.65,2460.0,896763,427900,47.72,-,0,0
SRF,2022-06-01,EQ,2464.05,2457.0,2493.0,2381.1,2399.0,465902,200798,43.10000000000001,-,0,0
SIEMENS,2022-05-30,EQ,2375.45,2393.0,2433.95,2377.0,2420.0,154885,64471,41.63,-,0,0
SIEMENS,2022-05-31,EQ,2417.9,2418.2,2469.0,2418.2,2440.0,427155,213159,49.9,-,0,0
SIEMENS,2022-06-01,EQ,2433.95,2434.1,2476.45,2406.5,2417.15,192340,62697,32.6,-,0,0
SHREECEM,2022-05-30,EQ,21927.05,21900.2,22639.65,21900.2,22390.0,30978,10621,34.29,-,0,0
SHREECEM,2022-05-31,EQ,22460.4,22390.0,22441.85,22010.1,22129.0,59959,30274,50.49,-,0,0
SHREECEM,2022-06-01,EQ,22116.3,22100.0,22172.5,21600.0,21780.0,29100,11013,37.85,-,0,0
SBIN,2022-05-30,EQ,468.95,473.0,476.9,471.1,474.8,9365470,3413721,36.45,-,0,0
SBIN,2022-05-31,EQ,474.6,474.0,476.4,465.0,467.6,15441579,8086708,52.37,-,0,0
SBIN,2022-06-01,EQ,468.1,468.0,472.0,464.7,469.25,9424008,3343041,35.47,-,0,0
SBILIFE,2022-05-30,EQ,1121.1,1125.4,1150.0,1118.85,1147.0,580398,300111,51.71,-,0,0
SBILIFE,2022-05-31,EQ,1148.4,1154.0,1180.9,1139.6,1170.1,2649820,1764611,66.59,-,0,0
SBILIFE,2022-06-01,EQ,1174.15,1162.0,1176.0,1144.05,1150.05,683413,267332,39.12,-,0,0
SBICARD,2022-05-30,EQ,765.9,771.0,778.95,765.85,775.1,729567,366128,50.18,-,0,0
SBICARD,2022-05-31,EQ,775.25,775.1,784.0,768.0,784.0,1408574,871490,61.870000000000005,-,0,0
SBICARD,2022-06-01,EQ,780.0,781.95,788.15,762.4,775.2,815392,406721,49.88,-,0,0
RELIANCE,2022-05-30,EQ,2575.1,2615.0,2674.0,2594.2,2668.0,6393341,2716871,42.5,-,0,0
RELIANCE,2022-05-31,EQ,2664.8,2641.4,2678.8,2615.7,2623.6,32591420,19734107,60.550000000000004,-,0,0
RELIANCE,2022-06-01,EQ,2632.65,2634.3,2655.2,2616.2,2635.0,4512079,2072536,45.93,-,0,0
POWERGRID,2022-05-30,EQ,224.7,224.5,229.9,224.3,228.2,6979319,4469382,64.04,-,0,0
POWERGRID,2022-05-31,EQ,228.25,228.25,235.15,228.2,232.6,19763659,11955659,60.49,-,0,0
POWERGRID,2022-06-01,EQ,232.9,232.15,233.0,228.15,228.9,7711507,5504314,71.38,-,0,0
PNB,2022-05-30,EQ,30.45,30.7,31.8,30.6,31.6,35988041,10754257,29.880000000000003,-,0,0
PNB,2022-05-31,EQ,31.65,31.55,31.9,31.25,31.35,22186702,4962158,22.37,-,0,0
PNB,2022-06-01,EQ,31.35,31.35,31.65,31.15,31.45,19112886,3411087,17.85,-,0,0
PIIND,2022-05-30,EQ,2675.95,2698.0,2747.1,2675.0,2726.0,155983,55073,35.31,-,0,0
PIIND,2022-05-31,EQ,2718.5,2719.0,2816.4,2719.0,2786.0,1141897,776863,68.03,-,0,0
PIIND,2022-06-01,EQ,2758.35,2775.0,2788.0,2702.45,2730.15,114636,41370,36.09,-,0,0
PIDILITIND,2022-05-30,EQ,2163.5,2203.25,2232.0,2185.4,2224.4,446582,183177,41.02,-,0,0
PIDILITIND,2022-05-31,EQ,2224.6,2229.0,2263.0,2190.5,2256.0,940079,648389,68.97,-,0,0
PIDILITIND,2022-06-01,EQ,2245.4,2250.0,2290.85,2193.6,2206.0,451556,132436,29.330000000000002,-,0,0
PEL,2022-05-30,EQ,1645.3,1680.0,1790.05,1678.25,1777.15,2660275,672837,25.290000000000003,-,0,0
PEL,2022-05-31,EQ,1777.35,1767.0,1908.55,1734.75,1890.5,2812912,934937,33.24,-,0,0
PEL,2022-06-01,EQ,1894.95,1854.0,1894.8,1822.0,1839.5,793603,115160,14.510000000000002,-,0,0
PAYTM,2022-05-30,EQ,616.3,622.0,647.65,620.35,641.3,3499929,799467,22.84,-,0,0
PAYTM,2022-05-31,EQ,643.5,642.0,664.0,633.5,653.0,5336623,978820,18.34,-,0,0
PAYTM,2022-06-01,EQ,652.95,656.0,676.9,648.3,654.9,3701972,530861,14.34,-,0,0
ONGC,2022-05-30,EQ,143.8,145.65,147.3,141.15,143.9,40261336,16331675,40.56,-,0,0
ONGC,2022-05-31,EQ,144.05,145.4,153.0,145.4,151.55,57675204,24435250,42.37,-,0,0
ONGC,2022-06-01,EQ,151.25,151.2,152.9,148.75,150.1,22780094,8198890,35.99,-,0,0
NYKAA,2022-05-30,EQ,1351.45,1351.0,1425.6,1332.5,1398.0,1398061,296637,21.22,-,0,0
NYKAA,2022-05-31,EQ,1401.45,1400.0,1506.8,1382.45,1481.8,1539314,515814,33.51,-,0,0
NYKAA,2022-06-01,EQ,1494.55,1500.8,1543.0,1420.25,1460.0,1248222,328187,26.290000000000003,-,0,0
NTPC,2022-05-30,EQ,150.45,150.05,152.5,148.8,151.1,12513990,5542924,44.29,-,0,0
NTPC,2022-05-31,EQ,150.9,151.1,158.0,150.35,157.6,124665699,76441154,61.31999999999999,-,0,0
NTPC,2022-06-01,EQ,156.0,156.45,160.2,156.25,157.05,16084988,6927741,43.07,-,0,0
NESTLEIND,2022-05-30,EQ,17641.05,17700.0,17986.9,17634.85,17770.05,52058,25648,49.27,-,0,0
NESTLEIND,2022-05-31,EQ,17706.9,17705.05,18157.6,17457.0,17699.95,359537,256531,71.35,-,0,0
NESTLEIND,2022-06-01,EQ,17691.5,17580.0,17848.45,17180.1,17250.0,58247,23722,40.73,-,0,0
NAUKRI,2022-05-30,EQ,3693.3,3760.0,3876.85,3720.0,3800.0,536609,124364,23.18,-,0,0
NAUKRI,2022-05-31,EQ,3805.15,3805.0,4185.65,3775.05,4185.65,2501052,822701,32.89,-,0,0
NAUKRI,2022-06-01,EQ,4164.4,4195.0,4225.0,4030.1,4089.85,781430,175626,22.47,-,0,0
MUTHOOTFIN,2022-05-30,EQ,1096.15,1100.0,1125.0,1100.0,1120.0,722748,268279,37.12,-,0,0
MUTHOOTFIN,2022-05-31,EQ,1120.05,1125.65,1151.4,1116.2,1139.7,673088,292853,43.51,-,0,0
MUTHOOTFIN,2022-06-01,EQ,1143.1,1145.0,1151.0,1105.55,1117.7,499614,172474,34.52,-,0,0
MINDTREE,2022-05-30,EQ,2866.4,2911.5,3029.0,2911.5,3020.0,714870,134584,18.83,-,0,0
MINDTREE,2022-05-31,EQ,3007.4,3007.4,3068.15,2968.0,3050.0,965340,457101,47.35,-,0,0
MINDTREE,2022-06-01,EQ,3047.65,3050.0,3066.0,2987.05,3003.7,511770,185101,36.17,-,0,0
MCDOWELL-N,2022-05-30,EQ,777.8,799.0,830.8,780.55,824.6,3971701,1342323,33.8,-,0,0
MCDOWELL-N,2022-05-31,EQ,822.65,810.0,825.85,805.35,808.15,1981144,1120709,56.57,-,0,0
MCDOWELL-N,2022-06-01,EQ,809.4,812.7,821.0,791.9,802.0,1025708,450834,43.95,-,0,0
MARUTI,2022-05-30,EQ,7942.95,7980.2,8060.0,7951.0,8008.0,389517,115223,29.580000000000002,-,0,0
MARUTI,2022-05-31,EQ,8013.9,8013.9,8100.0,7900.0,7999.7,2494005,1445488,57.96,-,0,0
MARUTI,2022-06-01,EQ,7966.35,7975.05,8068.9,7880.1,7930.0,522004,180450,34.57,-,0,0
MARICO,2022-05-30,EQ,526.1,527.6,537.9,526.0,535.5,980868,466969,47.61,-,0,0
MARICO,2022-05-31,EQ,535.85,534.5,551.9,526.65,533.8,7603590,5193186,68.3,-,0,0
MARICO,2022-06-01,EQ,533.65,532.95,538.55,518.0,520.75,1623158,861342,53.07000000000001,-,0,0
M&M,2022-05-30,EQ,952.85,972.25,1011.75,957.05,1000.0,11690785,4015619,34.35,-,0,0
M&M,2022-05-31,EQ,998.35,997.95,1043.0,992.0,1032.0,13301109,6909245,51.94,-,0,0
M&M,2022-06-01,EQ,1034.35,1035.0,1057.25,1014.8,1047.0,7889745,2816061,35.69,-,0,0
LUPIN,2022-05-30,EQ,605.75,610.35,617.1,609.05,613.0,964272,392213,40.67,-,0,0
LUPIN,2022-05-31,EQ,612.9,610.0,625.0,603.75,623.0,3069486,2164674,70.52,-,0,0
LUPIN,2022-06-01,EQ,618.6,621.55,624.05,604.25,606.8,1686662,791239,46.91,-,0,0
LTI,2022-05-30,EQ,3998.0,4080.0,4215.0,4051.05,4200.0,586924,195639,33.33,-,0,0
LTI,2022-05-31,EQ,4191.1,4209.8,4278.0,4138.45,4265.0,687879,317440,46.150000000000006,-,0,0
LTI,2022-06-01,EQ,4253.7,4274.85,4297.5,4180.0,4213.95,540298,265250,49.09,-,0,0
LT,2022-05-30,EQ,1600.3,1620.0,1663.7,1613.6,1662.5,2119326,1195161,56.39000000000001,-,0,0
LT,2022-05-31,EQ,1660.85,1660.5,1674.4,1645.0,1648.4,3534742,2483096,70.25,-,0,0
LT,2022-06-01,EQ,1654.5,1653.55,1661.0,1638.45,1650.0,1425466,714066,50.09,-,0,0
KOTAKBANK,2022-05-30,EQ,1946.2,1945.25,1951.75,1895.55,1907.0,3987800,2495693,62.580000000000005,-,0,0
KOTAKBANK,2022-05-31,EQ,1903.2,1891.1,1896.15,1828.35,1837.0,14830306,12110412,81.66,-,0,0
KOTAKBANK,2022-06-01,EQ,1846.85,1840.0,1874.0,1835.35,1871.0,2382645,1241626,52.11,-,0,0
JUBLFOOD,2022-05-30,EQ,516.75,529.75,573.75,511.5,566.65,16680979,2322270,13.919999999999998,-,0,0
JUBLFOOD,2022-05-31,EQ,566.85,556.0,565.0,547.2,550.9,8026161,2837248,35.35,-,0,0
JUBLFOOD,2022-06-01,EQ,550.95,550.95,564.55,550.4,555.6,3454296,711901,20.61,-,0,0
JSWSTEEL,2022-05-30,EQ,548.4,530.0,544.75,525.6,537.7,12211769,2362308,19.340000000000003,-,0,0
JSWSTEEL,2022-05-31,EQ,538.85,537.6,558.3,532.2,555.25,20152169,10700860,53.1,-,0,0
JSWSTEEL,2022-06-01,EQ,551.25,554.05,572.35,549.2,570.9,8495547,1686076,19.85,-,0,0
ITC,2022-05-30,EQ,269.2,270.5,271.0,267.6,269.0,11819102,6178050,52.27,-,0,0
ITC,2022-05-31,EQ,269.05,269.05,274.5,266.4,271.2,23208345,12973848,55.900000000000006,-,0,0
ITC,2022-06-01,EQ,270.65,270.65,274.1,270.2,271.5,14699792,7919917,53.88,-,0,0
IOC,2022-05-30,EQ,114.15,115.25,116.25,114.05,116.1,8148419,3019794,37.06,-,0,0
IOC,2022-05-31,EQ,116.1,115.7,117.5,115.5,116.15,13283897,7196663,54.18000000000001,-,0,0
IOC,2022-06-01,EQ,116.0,117.0,119.05,116.75,118.3,11124014,3884019,34.92,-,0,0
